Date,Open,High,Low,Close,Volume,Open Interest
2005-01-14,557.5,557.5,539.0,542.0,196.0,0.0
2005-01-13,553.25,558.0,548.5,557.5,2948.0,890.0
2005-01-12,555.0,560.0,552.0,554.0,3817.0,2428.0
2005-01-11,559.0,563.0,554.0,557.5,2915.0,4445.0
2005-01-10,550.25,560.5,549.0,560.0,3319.0,6121.0
2005-01-07,541.0,554.0,541.0,551.75,6145.0,7762.0
2005-01-06,534.5,542.5,534.5,541.75,5132.0,9098.0
2005-01-05,530.0,537.0,529.5,534.0,5936.0,10963.0
2005-01-04,536.5,536.5,528.0,529.75,11187.0,12316.0
2005-01-03,546.0,546.0,537.0,537.25,6862.0,15602.0
2004-12-30,545.75,552.0,539.5,547.75,10761.0,19389.0
2004-12-29,550.75,556.0,546.0,546.75,18168.0,22915.0
2004-12-28,556.75,557.25,550.5,551.25,12924.0,30336.0
2004-12-27,551.0,560.0,549.25,557.25,12042.0,38687.0
2004-12-23,546.0,552.5,545.5,550.5,11377.0,39961.0
2004-12-22,547.25,549.0,544.0,546.25,11346.0,48853.0
2004-12-21,549.5,552.0,547.0,549.0,15242.0,51942.0
2004-12-20,549.75,566.0,547.0,550.0,33335.0,57938.0
2004-12-17,544.0,550.0,538.0,548.75,24006.0,62769.0
2004-12-16,546.0,551.5,544.0,544.5,22711.0,63913.0
2004-12-15,549.75,552.0,545.0,546.0,24763.0,69075.0
2004-12-14,546.0,551.0,542.0,550.25,31439.0,74787.0
2004-12-13,534.0,552.0,534.0,546.75,62679.0,79720.0
2004-12-10,525.5,539.0,523.25,533.0,49133.0,82356.0
2004-12-09,529.0,530.75,524.0,526.5,37045.0,88278.0
2004-12-08,520.5,532.5,517.5,529.25,53139.0,87981.0
2004-12-07,529.75,531.5,521.5,522.0,45734.0,93615.0
2004-12-06,525.75,533.75,525.75,529.75,34763.0,94176.0
2004-12-03,520.25,527.0,519.75,525.75,41242.0,95084.0
2004-12-02,527.25,529.5,520.25,520.75,41914.0,98465.0
2004-12-01,534.75,538.5,527.0,528.0,42296.0,99979.0
2004-11-30,537.75,540.5,532.5,534.75,40697.0,101932.0
2004-11-29,548.0,548.5,535.0,539.5,45213.0,102606.0
2004-11-26,554.0,558.0,546.5,548.5,26536.0,102760.0
2004-11-24,558.25,561.25,553.5,554.0,31898.0,105784.0
2004-11-23,555.25,562.0,553.5,561.25,38866.0,104559.0
2004-11-22,550.5,557.0,547.5,554.5,28768.0,106545.0
2004-11-19,554.0,557.0,545.0,550.5,39653.0,107375.0
2004-11-18,550.75,557.0,548.5,555.0,42087.0,106719.0
2004-11-17,541.5,555.0,541.5,553.0,68401.0,110261.0
2004-11-16,535.25,542.0,531.25,540.5,45446.0,111594.0
2004-11-15,524.0,540.0,523.75,535.75,44481.0,112313.0
2004-11-12,518.5,529.0,512.0,525.0,50858.0,116360.0
2004-11-11,524.5,528.0,518.0,519.75,35302.0,114326.0
2004-11-10,514.0,541.0,511.0,525.0,76605.0,118204.0
2004-11-09,505.0,511.75,504.5,510.5,33930.0,124241.0
2004-11-08,503.75,511.0,502.5,505.5,37419.0,125318.0
2004-11-05,506.75,510.5,503.0,505.25,36728.0,124787.0
2004-11-04,517.5,518.75,505.5,506.25,45443.0,124344.0
2004-11-03,524.0,532.0,516.0,518.5,48756.0,119457.0
2004-11-02,521.25,526.0,520.5,525.5,33559.0,116366.0
2004-11-01,531.25,531.5,518.5,521.5,50787.0,115699.0
2004-10-29,536.0,537.0,528.0,533.5,36790.0,111504.0
