Date,Open,High,Low,Close,Volume,Open Interest
2006-03-14,572.0,575.0,570.25,574.75,1446.0,796.0
2006-03-13,574.0,576.0,571.0,573.5,1446.0,796.0
2006-03-10,575.5,583.5,570.0,578.25,1692.0,1742.0
2006-03-09,577.75,577.75,574.0,576.5,2900.0,2474.0
2006-03-08,576.0,577.0,572.0,572.25,4097.0,2938.0
2006-03-07,586.5,592.0,578.0,578.0,5066.0,3371.0
2006-03-06,587.0,592.5,579.5,587.0,5789.0,4440.0
2006-03-03,590.75,594.0,586.0,593.25,6472.0,4505.0
2006-03-02,577.5,593.0,572.5,591.0,8147.0,6085.0
2006-03-01,580.0,580.75,573.0,577.5,11592.0,8131.0
2006-02-28,579.75,585.0,573.75,580.25,18937.0,10392.0
2006-02-27,575.25,580.0,568.0,579.5,25922.0,18749.0
2006-02-24,572.0,579.75,572.0,577.25,23346.0,29153.0
2006-02-23,574.0,577.5,570.5,571.75,19678.0,42982.0
2006-02-22,587.5,589.25,573.0,574.0,23597.0,49917.0
2006-02-21,600.0,601.0,582.0,587.5,21223.0,60092.0
2006-02-17,590.75,603.0,590.0,601.25,27245.0,64761.0
2006-02-16,585.5,592.0,582.5,591.5,21481.0,70915.0
2006-02-15,583.0,590.0,571.0,587.0,44681.0,78407.0
2006-02-14,585.5,587.0,581.0,583.25,35747.0,87674.0
2006-02-13,584.0,589.0,578.25,584.25,53249.0,95964.0
2006-02-10,589.25,591.25,577.0,582.25,54068.0,110557.0
2006-02-09,580.5,594.0,577.5,587.75,73623.0,115881.0
2006-02-08,574.25,582.5,571.0,578.0,58491.0,129333.0
2006-02-07,587.5,594.0,573.0,574.0,61184.0,140057.0
2006-02-06,594.25,604.5,583.0,587.0,51115.0,152157.0
2006-02-03,584.0,598.5,581.0,594.75,63274.0,156348.0
2006-02-02,578.75,585.0,577.5,584.0,38606.0,160032.0
2006-02-01,593.0,594.5,579.0,579.5,56555.0,164103.0
2006-01-31,598.0,599.0,591.0,594.25,51701.0,166222.0
2006-01-30,593.5,606.25,593.25,598.75,63292.0,171456.0
2006-01-27,575.0,590.5,574.0,589.25,67170.0,170722.0
2006-01-26,566.5,573.5,565.5,573.0,33779.0,176234.0
2006-01-25,569.75,581.0,566.0,567.0,51420.0,177069.0
2006-01-24,574.0,577.75,569.5,571.25,40872.0,175851.0
2006-01-23,573.75,576.5,568.5,574.5,40914.0,175670.0
2006-01-20,565.0,571.75,564.5,568.0,41603.0,175509.0
2006-01-19,566.0,568.75,564.0,565.0,33366.0,176926.0
2006-01-18,570.5,572.0,563.5,565.75,36231.0,177856.0
2006-01-17,572.0,579.25,569.5,571.25,41346.0,179302.0
2006-01-13,573.25,577.0,570.0,576.5,41096.0,178793.0
2006-01-12,582.75,585.5,569.0,572.0,62339.0,176201.0
2006-01-11,588.5,591.5,583.0,584.5,45710.0,173688.0
2006-01-10,595.0,598.5,585.0,589.0,51282.0,172376.0
2006-01-09,604.0,606.5,589.5,594.0,60487.0,173448.0
2006-01-06,617.25,623.5,610.0,611.0,37988.0,169636.0
2006-01-05,630.5,632.75,614.5,618.5,55963.0,168030.0
2006-01-04,626.5,633.0,625.5,632.25,51126.0,170687.0
2006-01-03,618.0,632.5,617.0,628.5,66788.0,167910.0
2005-12-30,607.5,614.0,604.5,613.5,35368.0,164727.0
2005-12-29,621.25,625.0,607.5,608.75,51487.0,163513.0
2005-12-28,623.25,625.5,619.25,622.25,29596.0,160761.0
2005-12-27,628.0,632.0,614.0,623.75,36890.0,158630.0
2005-12-23,625.0,627.0,620.5,625.0,26496.0,153268.0
2005-12-22,618.25,629.0,618.25,625.25,45944.0,150235.0
2005-12-21,613.5,620.0,608.25,619.0,47398.0,145865.0
2005-12-20,619.25,627.5,615.5,616.5,67679.0,140698.0
2005-12-19,603.0,622.0,602.5,620.5,52391.0,133315.0
2005-12-16,597.5,610.75,595.5,602.5,48300.0,127138.0
2005-12-15,600.75,605.5,595.25,598.0,24521.0,120029.0
2005-12-14,603.25,611.0,598.5,603.5,31586.0,112091.0
2005-12-13,591.0,609.0,588.5,608.25,37275.0,106901.0
2005-12-12,578.5,609.0,578.5,594.5,41822.0,96863.0
2005-12-09,572.0,579.0,568.0,578.5,26980.0,85517.0
2005-12-08,567.25,576.0,566.0,575.5,19995.0,76015.0
2005-12-07,569.5,570.5,561.75,567.5,24323.0,69559.0
2005-12-06,579.0,579.5,568.0,571.0,12876.0,63960.0
2005-12-05,570.0,580.75,569.5,579.5,19133.0,62607.0
2005-12-02,566.25,572.0,565.0,570.5,13195.0,57771.0
2005-12-01,566.0,571.25,562.5,568.0,12032.0,54817.0
2005-11-30,560.75,569.0,558.75,566.25,12951.0,52260.0
2005-11-29,566.0,567.25,558.0,561.5,10265.0,48548.0
2005-11-28,563.75,566.5,551.5,565.75,13943.0,48875.0
