Date,Open,High,Low,Close,Volume,Open Interest
2004-05-14,1015.0,1015.0,960.0,969.0,1341.0,148.0
2004-05-13,995.5,1014.0,987.0,1013.0,1815.0,935.0
2004-05-12,1053.5,1063.0,983.0,991.5,4021.0,2130.0
2004-05-11,1045.0,1055.0,1040.0,1053.5,3607.0,4247.0
2004-05-10,1049.5,1051.0,1032.5,1040.5,3412.0,6040.0
2004-05-07,1018.0,1052.0,1011.0,1050.5,3927.0,7399.0
2004-05-06,1034.5,1035.0,1016.0,1018.0,4297.0,8340.0
2004-05-05,1041.25,1042.5,1029.0,1034.5,4407.0,10023.0
2004-05-04,1040.75,1052.0,1033.0,1038.25,5211.0,11897.0
2004-05-03,1036.0,1048.5,1030.0,1041.5,5636.0,14536.0
2004-04-30,1016.75,1043.0,1015.0,1034.0,13674.0,16930.0
2004-04-29,996.5,1025.0,995.0,1014.5,16064.0,21141.0
2004-04-28,1005.0,1005.75,987.0,996.5,14790.0,26155.0
2004-04-27,964.5,1009.0,963.5,1003.0,16283.0,40133.0
2004-04-26,968.75,969.5,956.0,964.5,13969.0,46261.0
2004-04-23,950.5,968.25,944.0,967.0,21362.0,52486.0
2004-04-22,937.75,952.0,935.0,947.0,21303.0,60260.0
2004-04-21,952.75,952.75,926.0,935.0,23665.0,62512.0
2004-04-20,968.0,973.0,951.0,952.75,21437.0,66707.0
2004-04-19,970.25,977.0,959.0,969.0,14065.0,69954.0
2004-04-16,956.25,977.75,950.5,965.0,21352.0,72758.0
2004-04-15,1016.0,1030.0,963.0,963.0,25489.0,78088.0
2004-04-14,974.0,1016.0,964.0,1013.0,25129.0,83059.0
2004-04-13,965.25,977.5,962.5,971.5,26715.0,88232.0
2004-04-12,990.0,993.0,965.0,967.0,51577.0,97154.0
2004-04-08,1020.0,1030.0,986.0,988.0,59719.0,102591.0
2004-04-07,1014.0,1028.0,1014.0,1016.0,35366.0,111102.0
2004-04-06,1022.0,1025.25,1003.0,1009.0,48720.0,116242.0
2004-04-05,1047.0,1064.0,1022.0,1024.5,57373.0,118807.0
2004-04-02,1035.5,1046.0,1025.5,1045.5,49412.0,121861.0
2004-04-01,1000.0,1034.0,999.25,1029.5,48038.0,128265.0
2004-03-31,1016.0,1017.5,981.0,995.0,61054.0,129880.0
2004-03-30,1013.75,1024.0,1012.0,1016.25,28434.0,131137.0
2004-03-29,1013.0,1023.0,1001.0,1013.0,30401.0,132469.0
2004-03-26,1031.5,1038.0,1010.0,1013.0,37669.0,134230.0
2004-03-25,1024.5,1039.0,1016.0,1028.5,47775.0,136997.0
2004-03-24,1052.0,1063.75,1015.0,1023.5,58841.0,138024.0
2004-03-23,1055.75,1055.75,1042.5,1052.0,39219.0,138897.0
2004-03-22,1036.0,1062.0,1036.0,1055.75,48889.0,140677.0
2004-03-19,1020.0,1034.0,1013.0,1024.0,52496.0,141741.0
2004-03-18,996.5,1020.0,995.75,1018.0,48751.0,143291.0
2004-03-17,990.0,999.0,975.5,994.0,43695.0,144242.0
2004-03-16,980.0,996.75,975.5,989.0,48681.0,145510.0
2004-03-15,953.0,981.0,953.0,978.25,40767.0,147860.0
2004-03-12,949.25,959.5,944.0,955.75,43940.0,144520.0
2004-03-11,923.0,951.5,922.0,944.0,49341.0,146055.0
2004-03-10,947.0,958.0,922.0,923.5,59799.0,145993.0
2004-03-09,917.0,948.0,915.0,947.0,47799.0,143826.0
2004-03-08,940.0,943.75,908.0,917.0,51255.0,145597.0
2004-03-05,936.25,941.5,925.5,937.75,41244.0,148903.0
2004-03-04,945.0,954.25,926.0,936.5,60891.0,148940.0
2004-03-03,924.0,946.0,923.5,943.0,64143.0,151335.0
2004-03-02,957.0,976.0,926.0,928.5,86608.0,151780.0
2004-03-01,943.25,958.0,938.0,957.5,55533.0,149037.0
2004-02-27,922.0,941.0,914.0,937.5,60234.0,146677.0
2004-02-26,928.25,932.0,912.0,925.0,60351.0,143076.0
2004-02-25,924.75,945.5,911.0,928.0,68982.0,139224.0
2004-02-24,907.0,927.0,898.0,926.0,64655.0,135818.0
2004-02-23,891.5,912.5,891.5,907.0,75707.0,131327.0
2004-02-20,876.5,892.0,876.0,883.5,60079.0,124667.0
2004-02-19,851.5,880.0,848.0,876.5,57868.0,122678.0
2004-02-18,850.0,859.0,844.0,852.0,49377.0,112732.0
2004-02-17,833.25,853.0,833.25,850.5,46478.0,109367.0
2004-02-13,817.5,829.5,816.5,828.75,30151.0,106301.0
2004-02-12,839.75,843.0,812.0,823.0,46987.0,104281.0
2004-02-11,834.0,846.0,824.5,838.5,25101.0,101862.0
2004-02-10,848.25,862.0,827.5,836.0,35514.0,98450.0
2004-02-09,831.75,850.5,818.0,848.75,34713.0,94628.0
2004-02-06,830.75,845.0,830.0,839.5,18934.0,90105.0
2004-02-05,805.0,832.5,804.5,831.5,23575.0,87994.0
2004-02-04,805.0,811.5,804.0,805.75,17482.0,85763.0
2004-02-03,794.0,807.5,794.0,804.5,20202.0,83539.0
2004-02-02,818.0,818.0,793.0,795.75,26095.0,82526.0
2004-01-30,809.25,825.0,806.0,822.75,21625.0,79872.0
2004-01-29,805.0,815.0,801.0,809.5,13963.0,76622.0
2004-01-28,833.75,833.75,805.0,806.5,17989.0,75734.0
2004-01-27,845.75,848.75,833.5,835.5,11917.0,74583.0
2004-01-26,836.25,853.5,836.25,848.0,12451.0,73508.0
2004-01-23,836.0,852.5,833.0,837.75,15515.0,71196.0
2004-01-22,842.0,845.25,835.25,839.0,13035.0,69236.0
2004-01-21,828.0,845.0,823.0,842.25,16038.0,68903.0
2004-01-20,837.75,842.5,829.5,830.25,11003.0,66894.0
2004-01-16,836.5,840.75,827.5,838.5,13213.0,65269.0
2004-01-15,842.5,845.0,832.5,837.0,17466.0,64865.0
2004-01-14,838.0,848.0,826.0,842.75,17258.0,63478.0
2004-01-13,819.25,848.5,819.0,838.5,18763.0,62404.0
2004-01-12,785.25,822.5,781.5,820.0,17271.0,59498.0
2004-01-09,787.5,791.0,784.0,785.25,9017.0,57391.0
2004-01-08,784.75,789.0,780.0,788.25,7070.0,56294.0
2004-01-07,797.5,797.5,779.0,784.75,9653.0,55856.0
2004-01-06,797.0,800.5,790.5,794.25,8971.0,56324.0
2004-01-05,794.0,802.0,787.0,796.5,6812.0,56417.0
2004-01-02,791.0,802.5,789.75,795.25,6828.0,55896.0
2003-12-31,780.0,794.0,778.0,791.0,4896.0,55248.0
2003-12-30,777.0,787.0,772.0,780.5,6950.0,55172.0
2003-12-29,791.0,796.0,785.0,787.5,7119.0,55104.0
2003-12-26,763.0,794.0,761.0,793.0,7220.0,54649.0
2003-12-24,727.0,760.0,727.0,758.5,5767.0,54859.0
2003-12-23,746.0,749.0,742.5,743.0,7440.0,54336.0
2003-12-22,756.0,756.75,751.5,752.25,3315.0,53866.0
2003-12-19,764.5,765.0,756.5,760.75,4662.0,53576.0
2003-12-18,760.0,760.0,748.5,753.75,6181.0,54123.0
2003-12-17,759.5,764.0,756.0,761.75,4395.0,53180.0
2003-12-16,765.5,766.0,752.0,757.0,5912.0,52508.0
2003-12-15,768.5,772.5,761.5,765.5,5108.0,52586.0
2003-12-12,755.0,769.5,755.0,767.25,7712.0,52809.0
2003-12-11,768.0,770.0,754.0,757.25,9225.0,51233.0
2003-12-10,773.5,775.0,763.5,771.0,8358.0,50856.0
2003-12-09,764.0,777.0,761.0,773.25,10722.0,48924.0
2003-12-08,750.0,762.0,748.5,760.25,3911.0,46011.0
2003-12-05,752.0,754.5,745.0,749.5,6113.0,45548.0
2003-12-04,755.0,762.5,752.0,753.25,5511.0,45722.0
2003-12-03,755.0,763.0,754.5,759.5,8337.0,45213.0
2003-12-02,738.0,758.0,738.0,753.75,6309.0,43468.0
2003-12-01,740.0,747.5,735.0,744.75,6246.0,43170.0
2003-11-28,729.0,739.0,728.0,738.0,3729.0,42903.0
2003-11-26,721.5,728.5,719.75,725.0,4739.0,43131.0
2003-11-25,715.5,722.0,712.0,720.5,5916.0,42956.0
2003-11-24,728.5,732.0,718.75,720.25,4139.0,41932.0
2003-11-21,733.5,735.0,721.0,732.75,6100.0,41983.0
2003-11-20,720.25,734.0,718.5,733.5,4999.0,42480.0
2003-11-19,743.0,743.75,719.0,720.5,8129.0,42137.0
2003-11-18,751.0,751.0,734.0,745.25,7680.0,41906.0
2003-11-17,750.0,755.0,744.5,753.25,5283.0,41659.0
2003-11-14,739.0,750.0,739.0,746.75,7327.0,41806.0
2003-11-13,730.0,740.0,729.0,737.0,3804.0,40705.0
2003-11-12,730.25,744.0,724.0,730.5,9057.0,40946.0
2003-11-11,726.75,731.0,723.0,726.5,10666.0,40027.0
2003-11-10,717.5,724.0,710.5,723.0,5163.0,39532.0
2003-11-07,729.25,734.5,720.5,721.25,7013.0,39537.0
2003-11-06,739.5,741.0,731.0,732.0,5340.0,39048.0
2003-11-05,723.25,734.0,710.0,732.0,5384.0,38580.0
2003-11-04,750.5,752.0,722.0,723.5,5915.0,38459.0
2003-11-03,750.5,761.0,745.0,750.25,4261.0,39218.0
2003-10-31,752.5,755.0,738.5,750.0,6818.0,39483.0
2003-10-30,748.25,753.0,741.5,749.0,8741.0,38978.0
