Date,Open,High,Low,Close,Volume,Open Interest
2006-07-14,597.5,603.0,592.25,602.0,1703.0,1018.0
2006-07-13,600.0,602.0,596.0,597.5,1703.0,1018.0
2006-07-12,610.0,610.0,597.0,603.0,4452.0,1544.0
2006-07-11,606.0,613.0,602.5,607.0,4377.0,3137.0
2006-07-10,610.0,610.0,598.0,603.0,6513.0,3823.0
2006-07-07,607.5,607.75,597.5,602.0,9505.0,4320.0
2006-07-06,594.25,612.0,594.0,608.5,13673.0,6670.0
2006-07-05,603.25,607.0,592.0,594.5,16219.0,9597.0
2006-07-03,602.5,605.0,595.5,601.5,19651.0,11666.0
2006-06-30,582.0,600.5,582.0,594.75,36396.0,14233.0
2006-06-29,577.25,585.0,577.0,581.75,37911.0,20928.0
2006-06-28,578.0,583.0,574.25,578.5,26788.0,33568.0
2006-06-27,569.0,580.5,569.0,578.0,20772.0,40964.0
2006-06-26,581.0,581.0,566.5,569.5,29756.0,50156.0
2006-06-23,582.75,584.0,579.75,580.5,22776.0,59109.0
2006-06-22,587.75,589.5,580.0,583.0,22982.0,79094.0
2006-06-21,584.75,589.0,584.0,586.25,21848.0,86584.0
2006-06-20,584.5,586.75,582.0,585.25,21613.0,93745.0
2006-06-19,595.25,595.5,582.5,584.5,39813.0,101586.0
2006-06-16,594.5,601.0,593.5,600.25,25595.0,110434.0
2006-06-15,590.0,598.0,590.0,592.5,24678.0,119218.0
2006-06-14,597.25,600.5,589.0,589.5,48728.0,125867.0
2006-06-13,600.5,603.0,593.5,595.75,63742.0,134541.0
2006-06-12,596.75,605.0,592.0,600.0,79751.0,143181.0
2006-06-09,587.0,592.5,583.5,585.75,69172.0,156456.0
2006-06-08,596.0,597.0,586.0,587.75,57766.0,167820.0
2006-06-07,595.25,601.0,590.0,597.0,64588.0,179048.0
2006-06-06,603.0,605.0,593.0,593.5,58281.0,189390.0
2006-06-05,608.5,611.0,600.5,603.25,65753.0,189062.0
2006-06-02,586.0,610.0,583.0,609.0,96381.0,204446.0
2006-06-01,580.25,587.75,574.75,586.75,69641.0,209347.0
2006-05-31,583.0,584.75,577.5,579.5,54171.0,210091.0
2006-05-30,582.0,587.5,578.75,583.5,37197.0,214607.0
2006-05-26,584.25,588.0,582.0,582.5,38746.0,210633.0
2006-05-25,582.0,584.5,580.25,584.25,35036.0,214390.0
2006-05-24,585.25,589.0,580.0,582.5,44205.0,216839.0
2006-05-23,583.5,588.5,582.25,586.75,45928.0,213281.0
2006-05-22,590.5,591.0,581.0,582.5,48598.0,212317.0
2006-05-19,597.75,598.25,585.5,587.0,59275.0,217911.0
2006-05-18,604.0,604.25,594.5,598.0,49151.0,223351.0
2006-05-17,603.25,610.5,600.0,604.0,50543.0,226668.0
2006-05-16,603.75,605.0,595.0,602.75,35041.0,228528.0
2006-05-15,615.0,617.0,601.0,604.5,40049.0,230704.0
2006-05-12,612.5,620.0,608.0,613.0,64221.0,232423.0
2006-05-11,605.5,617.0,602.0,613.0,64992.0,229498.0
2006-05-10,606.0,612.0,604.75,606.0,44456.0,223983.0
2006-05-09,601.5,611.5,600.5,604.5,57548.0,225894.0
2006-05-08,605.0,611.5,596.5,599.5,43201.0,223896.0
