Date,Open,High,Low,Close,Volume,Open Interest
2002-09-13,574.0,574.0,563.0,563.5,1064.0,260.0
2002-09-12,586.0,592.5,578.0,578.0,2143.0,1391.0
2002-09-11,579.0,594.0,579.0,591.5,1748.0,2542.0
2002-09-10,573.5,582.0,569.0,581.0,2311.0,3626.0
2002-09-09,569.0,580.0,569.0,573.5,1986.0,4897.0
2002-09-06,565.5,568.5,564.25,565.0,2732.0,5980.0
2002-09-05,563.5,568.5,560.0,565.5,2604.0,7066.0
2002-09-04,560.0,565.0,556.5,563.25,1867.0,8505.0
2002-09-03,566.0,566.0,556.0,559.75,4256.0,9568.0
2002-08-30,556.5,560.0,553.5,559.0,4027.0,10244.0
2002-08-29,560.5,561.5,555.25,555.25,4741.0,10321.0
2002-08-28,564.0,565.0,558.0,559.5,9739.0,12121.0
2002-08-27,553.5,563.5,553.25,562.75,6466.0,12526.0
2002-08-26,555.0,556.0,550.0,553.75,6085.0,12880.0
2002-08-23,544.5,556.0,544.0,552.0,7247.0,15516.0
2002-08-22,550.0,551.0,540.0,548.0,10763.0,19498.0
2002-08-21,556.0,558.5,548.0,554.25,17592.0,20605.0
2002-08-20,565.5,565.5,551.0,551.75,10584.0,23352.0
2002-08-19,571.0,574.0,566.0,569.0,8490.0,23858.0
2002-08-16,587.0,587.5,581.5,583.25,6169.0,25643.0
2002-08-15,600.0,601.0,591.0,592.25,11245.0,26767.0
2002-08-14,591.0,599.0,590.5,594.0,12935.0,27732.0
2002-08-13,581.5,590.0,576.0,585.0,16814.0,29824.0
2002-08-12,597.0,598.0,580.0,581.75,16555.0,29966.0
2002-08-09,546.5,556.0,546.0,554.75,12183.0,28629.0
2002-08-08,550.0,551.0,543.5,545.5,9537.0,28331.0
2002-08-07,551.5,557.0,548.5,550.75,10052.0,27252.0
2002-08-06,548.5,559.75,546.0,551.5,8951.0,26217.0
2002-08-05,535.0,553.5,535.0,549.0,8353.0,26208.0
2002-08-02,566.0,566.0,554.0,555.0,9071.0,26412.0
2002-08-01,565.0,575.5,550.0,558.75,16647.0,26849.0
2002-07-31,550.0,564.5,548.5,554.0,14128.0,26753.0
2002-07-30,522.0,539.0,521.5,531.5,14598.0,26219.0
2002-07-29,514.5,525.0,514.0,519.5,10809.0,26694.0
2002-07-26,544.5,548.0,531.5,532.5,12370.0,27169.0
2002-07-25,545.0,550.0,537.25,542.75,10686.0,25212.0
2002-07-24,549.5,563.5,549.0,560.0,8366.0,24952.0
2002-07-23,565.5,566.0,548.0,550.75,6239.0,23010.0
2002-07-22,565.5,575.0,563.5,570.5,6393.0,23057.0
2002-07-19,548.25,553.5,546.25,553.0,5611.0,22483.0
2002-07-18,549.0,557.5,547.5,551.5,7864.0,22328.0
2002-07-17,550.0,556.75,548.0,549.25,7796.0,20534.0
2002-07-16,555.0,556.5,548.0,555.0,4870.0,19194.0
2002-07-15,549.0,549.5,543.5,547.5,5426.0,18854.0
2002-07-12,531.5,536.5,528.5,534.5,4530.0,18599.0
2002-07-11,533.5,534.0,521.5,532.5,4720.0,18323.0
2002-07-10,523.0,533.5,523.0,529.0,4978.0,18252.0
2002-07-09,532.0,535.0,529.0,530.75,3473.0,17668.0
2002-07-08,521.0,528.0,517.5,521.75,3379.0,17680.0
2002-07-05,521.0,528.5,520.75,526.75,3050.0,17745.0
2002-07-03,510.0,524.5,510.0,522.75,3281.0,17545.0
2002-07-02,528.5,528.5,517.0,519.25,3908.0,17187.0
2002-07-01,523.0,527.0,521.5,526.5,2733.0,16204.0
2002-06-28,520.0,520.0,512.5,515.25,3328.0,15761.0
2002-06-27,497.0,502.5,495.0,501.5,3733.0,15236.0
2002-06-26,490.0,497.5,488.0,494.0,3387.0,15035.0
2002-06-25,495.0,495.5,487.5,490.0,2018.0,14293.0
2002-06-24,492.0,493.0,488.0,489.5,2661.0,14237.0
2002-06-21,476.0,483.0,473.5,478.5,2382.0,13608.0
2002-06-20,476.0,478.25,473.5,473.75,2312.0,13290.0
2002-06-19,474.0,479.5,474.0,476.5,1003.0,12003.0
2002-06-18,478.5,479.5,475.0,476.75,1147.0,12186.0
2002-06-17,477.5,484.0,476.0,480.75,1312.0,12125.0
2002-06-14,480.5,482.0,478.0,479.25,1928.0,12083.0
2002-06-13,477.25,483.5,476.0,481.5,1034.0,11744.0
2002-06-12,482.0,482.5,475.25,475.25,1636.0,11548.0
2002-06-11,481.5,483.25,477.75,481.0,1791.0,11182.0
2002-06-10,479.0,480.5,478.0,480.0,926.0,11286.0
2002-06-07,485.5,487.0,482.5,484.5,1797.0,11495.0
2002-06-06,494.0,496.0,488.5,488.5,1958.0,11656.0
2002-06-05,491.5,493.5,489.0,491.5,1162.0,11327.0
2002-06-04,490.5,496.5,489.5,490.0,1950.0,11642.0
2002-06-03,490.0,492.0,486.5,486.75,2304.0,11783.0
2002-05-31,487.5,495.0,487.0,493.0,2279.0,10855.0
2002-05-30,479.5,487.0,479.0,485.25,1523.0,10069.0
2002-05-29,481.5,484.0,479.0,479.75,1697.0,9885.0
2002-05-28,472.5,481.5,472.5,481.25,1801.0,9272.0
2002-05-24,473.5,478.0,473.0,474.25,2104.0,8838.0
2002-05-23,477.0,479.0,473.75,476.5,1215.0,8992.0
2002-05-22,478.0,483.0,476.5,479.0,1421.0,8654.0
2002-05-21,478.0,478.0,474.5,476.5,304.0,8482.0
2002-05-20,472.5,479.0,471.0,477.75,742.0,8521.0
2002-05-17,473.5,474.5,471.0,473.0,2171.0,8532.0
2002-05-16,470.5,475.0,468.0,471.75,2254.0,7900.0
2002-05-15,465.0,471.5,464.5,470.75,748.0,7283.0
2002-05-14,466.5,469.25,465.0,465.25,240.0,7005.0
2002-05-13,469.0,471.0,467.5,467.75,581.0,7026.0
2002-05-10,471.5,471.5,461.5,463.0,545.0,6886.0
2002-05-09,464.0,469.75,464.0,469.25,834.0,6826.0
2002-05-08,456.5,463.75,454.75,463.25,513.0,6626.0
2002-05-07,455.5,457.0,453.75,456.25,402.0,6628.0
2002-05-06,452.0,456.5,451.5,453.5,497.0,6574.0
2002-05-03,453.5,454.5,450.25,453.5,365.0,6574.0
2002-05-02,458.0,458.0,455.0,455.25,152.0,6419.0
2002-05-01,458.0,458.5,455.5,456.5,218.0,6472.0
2002-04-30,459.0,459.0,454.5,457.25,543.0,6401.0
2002-04-29,458.75,459.5,455.0,456.75,693.0,6109.0
2002-04-26,467.5,468.0,460.0,460.5,974.0,6357.0
2002-04-25,472.0,473.75,465.0,465.25,1766.0,5999.0
2002-04-24,471.5,473.0,468.5,471.75,1018.0,5629.0
2002-04-23,462.0,469.0,462.0,469.0,217.0,5111.0
2002-04-22,471.5,471.5,464.0,464.0,469.0,4992.0
2002-04-19,467.0,470.0,465.0,466.75,583.0,4712.0
2002-04-18,467.5,470.0,464.0,464.0,304.0,4631.0
2002-04-17,461.75,471.0,461.75,468.0,1194.0,4578.0
2002-04-16,454.5,463.0,454.0,462.75,85.0,4049.0
2002-04-15,460.0,460.0,453.0,453.25,66.0,4031.0
2002-04-12,451.0,458.5,450.5,457.75,679.0,4001.0
2002-04-11,454.5,454.5,451.5,453.0,821.0,3907.0
2002-04-10,454.5,459.0,452.0,452.0,924.0,3746.0
2002-04-09,455.5,459.5,455.5,457.25,391.0,3348.0
2002-04-08,461.25,463.0,452.25,455.5,463.0,3324.0
2002-04-05,460.0,463.0,459.5,462.0,334.0,3263.0
2002-04-04,463.5,464.5,457.5,458.25,311.0,3066.0
2002-04-03,472.0,472.0,462.5,462.5,191.0,3019.0
2002-04-02,478.75,478.75,474.0,475.0,275.0,2938.0
2002-04-01,475.0,477.5,474.0,477.5,236.0,2813.0
2002-03-28,478.0,481.5,474.0,477.25,317.0,2795.0
2002-03-27,467.0,472.0,466.5,472.0,841.0,2727.0
2002-03-26,464.5,467.0,464.0,466.75,347.0,2665.0
2002-03-25,464.5,464.75,461.25,462.5,556.0,2519.0
2002-03-22,462.0,467.0,461.0,465.0,798.0,2387.0
2002-03-21,461.5,467.0,460.5,462.0,388.0,2362.0
2002-03-20,468.0,468.0,461.5,461.5,107.0,2287.0
2002-03-19,467.0,468.0,461.0,467.5,131.0,2259.0
2002-03-18,475.5,476.0,465.5,465.5,486.0,2220.0
2002-03-15,472.25,478.0,472.0,477.0,548.0,2266.0
2002-03-14,468.0,475.0,468.0,473.75,93.0,1972.0
2002-03-13,466.0,468.0,464.5,467.75,195.0,1998.0
2002-03-12,470.0,471.0,467.0,468.0,242.0,1938.0
2002-03-11,467.5,471.0,467.0,470.5,62.0,1888.0
2002-03-08,464.0,474.0,463.5,471.0,542.0,1859.0
2002-03-07,467.0,470.5,464.0,466.0,741.0,1850.0
2002-03-06,461.0,462.5,459.0,460.5,124.0,2011.0
2002-03-05,459.0,464.0,458.5,463.0,108.0,1987.0
2002-03-04,453.5,457.0,452.0,456.5,53.0,2013.0
2002-03-01,447.5,457.0,447.0,455.5,399.0,2054.0
2002-02-28,453.5,454.0,446.0,446.0,144.0,1984.0
2002-02-27,448.0,454.5,448.0,454.0,212.0,1952.0
2002-02-26,446.0,448.0,445.5,447.0,233.0,1860.0
2002-02-25,449.0,449.0,444.5,445.75,67.0,1815.0
2002-02-22,453.5,454.0,450.5,451.0,192.0,1805.0
2002-02-21,454.0,454.25,450.5,454.25,274.0,1716.0
2002-02-20,447.0,454.0,445.5,454.0,222.0,1501.0
2002-02-19,447.0,447.0,446.0,447.0,223.0,1526.0
2002-02-15,447.0,449.0,446.0,448.5,229.0,1479.0
2002-02-14,448.0,448.5,447.0,447.0,116.0,1279.0
2002-02-13,446.0,448.5,446.0,448.5,131.0,1242.0
2002-02-12,440.5,443.5,440.5,443.5,7.0,1175.0
2002-02-11,439.0,439.5,436.0,439.5,53.0,1173.0
2002-02-08,440.0,441.0,436.0,438.0,92.0,1143.0
2002-02-07,439.0,440.5,438.0,440.5,60.0,1084.0
2002-02-06,442.0,442.0,436.0,439.0,423.0,1027.0
2002-02-05,441.0,443.0,440.75,441.5,148.0,865.0
2002-02-04,438.5,440.5,438.0,440.5,43.0,813.0
2002-02-01,437.5,437.5,435.0,435.5,51.0,779.0
2002-01-31,437.0,439.5,436.5,436.5,57.0,760.0
2002-01-30,437.0,438.5,436.0,437.5,337.0,745.0
2002-01-29,438.5,439.0,436.5,438.0,44.0,704.0
2002-01-28,437.5,440.0,437.0,440.0,20.0,702.0
2002-01-25,446.0,446.0,441.0,441.25,4.0,685.0
2002-01-24,445.0,447.0,442.5,447.0,5.0,684.0
2002-01-23,448.5,449.0,443.5,443.5,69.0,680.0
2002-01-22,455.0,455.0,450.5,450.5,94.0,715.0
2002-01-18,458.5,458.5,455.5,456.0,191.0,642.0
2002-01-17,461.0,463.0,456.0,458.0,18.0,561.0
2002-01-16,454.5,460.5,454.5,460.5,3.0,572.0
2002-01-15,453.0,457.0,453.0,454.5,20.0,575.0
2002-01-14,454.0,458.0,453.5,454.0,40.0,571.0
2002-01-11,448.0,451.0,444.5,451.0,77.0,573.0
2002-01-10,446.0,446.0,440.5,441.0,155.0,608.0
2002-01-09,444.0,448.5,444.0,447.5,8.0,463.0
2002-01-08,442.0,442.0,442.0,442.0,0.0,463.0
2002-01-07,438.0,443.0,437.0,439.0,24.0,463.0
2002-01-04,430.0,432.5,430.0,432.0,110.0,461.0
2002-01-03,429.0,431.0,426.25,431.0,87.0,502.0
2002-01-02,432.0,432.0,425.0,426.0,62.0,425.0
2001-12-31,433.5,434.0,431.0,432.0,11.0,408.0
2001-12-28,436.0,437.25,435.0,435.0,58.0,402.0
2001-12-27,437.5,439.0,437.0,437.0,23.0,405.0
2001-12-26,438.5,439.0,437.0,437.0,19.0,386.0
2001-12-21,440.0,441.5,440.0,441.5,33.0,384.0
2001-12-20,443.0,445.5,443.0,443.0,3.0,372.0
2001-12-19,443.0,444.5,443.0,444.0,5.0,372.0
2001-12-18,443.5,443.5,442.5,442.5,3.0,368.0
2001-12-17,450.0,450.0,448.0,448.5,1.0,367.0
2001-12-14,447.5,447.5,447.5,447.5,0.0,366.0
2001-12-13,448.0,448.0,446.5,447.0,3.0,366.0
2001-12-12,450.0,450.0,444.5,445.5,16.0,364.0
2001-12-11,455.5,455.5,449.0,450.0,13.0,372.0
2001-12-10,455.5,457.5,455.0,455.0,152.0,365.0
2001-12-07,453.0,455.5,453.0,455.0,78.0,315.0
2001-12-06,457.0,457.0,454.0,454.0,5.0,262.0
2001-12-05,453.5,453.5,453.5,453.5,0.0,257.0
2001-12-04,461.0,461.0,455.5,456.5,2.0,257.0
2001-12-03,459.0,460.0,459.0,460.0,4.0,259.0
2001-11-30,457.0,457.0,455.0,455.0,1.0,259.0
2001-11-29,445.0,445.0,445.0,445.0,4.0,264.0
2001-11-28,454.0,454.0,446.0,446.0,82.0,264.0
2001-11-27,450.0,450.0,450.0,450.0,0.0,322.0
2001-11-26,455.0,455.5,451.0,451.0,10.0,321.0
2001-11-23,461.5,461.5,461.5,461.5,0.0,317.0
2001-11-21,459.5,459.5,459.5,459.5,0.0,317.0
2001-11-20,459.0,459.0,459.0,459.0,0.0,317.0
2001-11-19,463.0,463.0,461.5,461.5,26.0,317.0
2001-11-16,456.0,460.0,456.0,460.0,2.0,316.0
2001-11-15,456.0,456.0,456.0,456.0,0.0,318.0
2001-11-14,459.0,459.0,459.0,459.0,0.0,318.0
2001-11-13,457.0,457.0,456.0,457.0,1.0,318.0
2001-11-12,458.0,458.0,458.0,458.0,2.0,317.0
2001-11-09,458.0,458.0,454.0,454.5,5.0,315.0
2001-11-08,448.5,448.5,448.5,448.5,0.0,310.0
2001-11-07,450.0,452.5,450.0,452.5,24.0,310.0
2001-11-06,456.5,456.5,449.0,449.0,24.0,310.0
2001-11-05,454.0,454.0,454.0,454.0,0.0,309.0
2001-11-02,454.0,454.0,452.5,452.5,4.0,309.0
2001-11-01,454.0,454.0,454.0,454.0,0.0,305.0
2001-10-31,456.5,456.5,452.0,452.75,5.0,305.0
2001-10-30,451.0,457.0,451.0,456.0,59.0,302.0
2001-10-29,448.0,449.0,448.0,448.0,13.0,274.0
2001-10-26,451.0,451.0,447.0,447.0,5.0,274.0
2001-10-25,452.0,452.0,448.5,450.5,163.0,270.0
2001-10-24,447.0,449.0,446.5,449.0,4.0,173.0
2001-10-23,445.0,446.0,445.0,445.0,153.0,171.0
2001-10-22,446.0,446.0,443.0,443.0,104.0,243.0
2001-10-19,446.0,446.0,446.0,446.0,0.0,241.0
2001-10-18,448.0,448.5,447.5,448.0,110.0,241.0
2001-10-17,451.0,451.0,451.0,451.0,0.0,151.0
2001-10-16,448.5,449.0,448.5,449.0,4.0,151.0
2001-10-15,453.0,453.0,447.0,448.5,9.0,148.0
2001-10-12,455.0,455.0,454.0,454.5,142.0,152.0
2001-10-11,467.0,467.0,466.0,466.0,6.0,16.0
2001-10-10,465.0,465.0,465.0,465.0,0.0,10.0
2001-10-09,470.0,470.0,470.0,470.0,0.0,10.0
2001-10-08,472.0,472.0,472.0,472.0,1.0,10.0
2001-10-05,468.0,468.0,468.0,468.0,0.0,10.0
2001-10-04,471.0,471.0,471.0,471.0,0.0,10.0
2001-10-03,472.0,472.0,472.0,472.0,2.0,10.0
2001-10-02,472.0,472.0,472.0,472.0,2.0,10.0
2001-10-01,474.0,474.0,473.0,473.0,1.0,10.0
2001-09-28,472.0,472.0,472.0,472.0,1.0,9.0
2001-09-27,481.0,481.0,481.0,481.0,0.0,9.0
2001-09-26,482.0,482.0,482.0,482.0,20.0,9.0
2001-09-25,481.0,481.0,481.0,481.0,0.0,9.0
2001-09-24,483.0,483.0,483.0,483.0,0.0,9.0
2001-09-21,480.0,480.0,480.0,480.0,0.0,9.0
2001-09-20,481.0,481.0,481.0,481.0,0.0,9.0
2001-09-19,476.0,476.0,476.0,476.0,0.0,9.0
2001-09-18,485.0,485.0,481.0,481.0,1.0,9.0
2001-09-17,485.0,485.0,485.0,485.0,0.0,8.0
2001-09-14,482.5,482.5,482.5,482.5,0.0,8.0
2001-09-13,487.0,487.0,487.0,487.0,0.0,8.0
2001-09-10,481.0,481.0,481.0,481.0,0.0,8.0
2001-09-07,479.0,479.0,479.0,479.0,0.0,8.0
2001-09-06,484.0,484.0,484.0,484.0,0.0,8.0
2001-09-05,488.0,488.0,488.0,488.0,0.0,8.0
2001-09-04,491.0,491.0,491.0,491.0,0.0,8.0
2001-08-31,497.0,497.0,497.0,497.0,0.0,8.0
2001-08-30,492.0,492.0,492.0,492.0,0.0,8.0
2001-08-29,490.0,495.0,490.0,494.0,61.0,8.0
2001-08-28,492.0,492.0,492.0,492.0,0.0,2.0
2001-08-27,489.0,489.0,489.0,489.0,0.0,2.0
2001-08-24,487.5,487.5,487.5,487.5,0.0,2.0
2001-08-23,492.0,492.0,492.0,492.0,0.0,2.0
2001-08-22,488.0,488.0,488.0,488.0,0.0,2.0
2001-08-21,495.5,495.5,495.5,495.5,0.0,2.0
2001-08-20,493.0,493.0,493.0,493.0,0.0,2.0
2001-08-17,501.0,501.0,501.0,501.0,0.0,2.0
2001-08-16,500.0,500.0,500.0,500.0,0.0,0.0
