titular,saldo_cred_restante,freq_atu_saldo,qtde_compras,vr_max_compra_feita,vr_compra_feita_parcelas,dinh_adiantado_usu,freq_compras,freq_compras_1vez,freq_compras_parcelas,freq_pag_dinh_adiantado,trans_dinh_adiantado,trans_compra_feita,limite_cartao,vr_pag_feito_usu,vr_min_pagtos_feito_usu,%pag_integral_feito_usu,prazo_serv_cartao_usu,minmax__saldo_cred_restante,minmax__qtde_compras,minmax__vr_max_compra_feita,minmax__vr_compra_feita_parcelas,minmax__dinh_adiantado_usu,minmax__limite_cartao,minmax__vr_pag_feito_usu,minmax__vr_min_pagtos_feito_usu,power__freq_atu_saldo,power__freq_compras,power__freq_compras_1vez,power__freq_compras_parcelas,power__freq_pag_dinh_adiantado,power__trans_dinh_adiantado,power__trans_compra_feita,power__%pag_integral_feito_usu,power__prazo_serv_cartao_usu,cluster
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.002147794538759,0.0019453677917648,0.0,0.00424,0.0,0.0317195325542571,0.003977659062411,0.0018256456315847,-1.2695886078926155,-0.7870098359187703,-0.9091757415789932,-0.6220429093136652,-0.8885949200610787,-0.9118692662572888,-0.5914967004692989,-0.6933738358547403,0.4171560073730112,1
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.1681690970167472,0.0,0.0,0.0,0.13668490864085,0.2320534223706177,0.0808924900738522,0.0140344791051438,-0.5948778612638775,-1.28586614980189,-0.9091757415789932,-1.01202208632022,1.102197295138235,1.025583971163073,-1.392627811474239,1.1790596782226306,0.4171560073730112,0
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.131026135956446,0.0157662475425457,0.0189682602962372,0.0,0.0,0.2487479131886477,0.0122633999440216,0.0082096180622067,0.6126413400944242,1.2119213838652076,1.7249586613950545,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,0.4724890267155591,-0.6933738358547403,0.4171560073730112,3
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.0950383648839028,0.0271878403501498,0.0,0.0592568888888888,0.0,0.0584307178631051,0.0276019061531874,0.0315056531907138,0.6126413400944242,0.4884402572048707,-0.9091757415789932,0.7824208998004298,-0.8885949200610787,-0.9118692662572888,0.2062324883861981,-0.6933738358547403,0.4171560073730112,3
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,0.0329389403970182,0.1445977197597776,0.1570763899536937,0.0305946666666666,0.0,0.4490818030050084,0.1252777047700877,0.0025920247464072,0.6126413400944242,1.2119213838652076,1.7249586613950545,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,1.63337419100219,1.8518223689858484,0.4171560073730112,3
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,0.095764295221302,0.0088948577648621,0.0,0.0193866666666666,0.0,0.0751252086811352,0.0133871524816951,0.0069629808584903,0.6126413400944242,1.2119213838652076,-0.9091757415789932,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.4724890267155591,-0.6933738358547403,0.4171560073730112,3
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.0532961764575849,0.017567242127123,0.0162284032015701,0.0088888888888888,0.0,0.2320534223706177,0.0135688012502964,0.0040827091719648,0.6126413400944242,-0.330073471834004,-0.1116782817929076,-0.0140082675788564,-0.8885949200610787,-0.9118692662572888,-0.0877904542509869,-0.6933738358547403,0.4171560073730112,1
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.0079937440207335,0.0261339975044642,0.0314416265448189,0.0,0.0,0.3656093489148581,0.0229630944880886,0.0013124996961167,-1.9260199496591568,-0.7870098359187703,0.4214436267658298,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,-0.3822755393187493,-0.6933738358547403,0.4171560073730112,1
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.0679050322994656,0.0187628072595253,0.0,0.0408942222222222,0.0,0.0383973288814691,0.021356878381388,0.0284358983051004,0.6126413400944242,1.2119213838652076,-0.9091757415789932,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.4724890267155591,-0.6933738358547403,0.4171560073730112,3
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,0.0331245157941023,0.0304280808334983,0.0366078076604618,0.0,0.0,0.0651085141903172,0.0139106697205826,0.0020355668741555,-1.2695886078926155,-0.553879852258038,0.7882918871029566,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,0.0240462917643705,-0.6933738358547403,0.4171560073730112,1
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,0.079657490030887,0.0656202735872276,0.0613384035082339,0.0319004444444444,0.0,0.0984974958263773,0.0119912654250797,0.0064155516790033,0.6126413400944242,1.2119213838652076,0.7882918871029566,1.2762198144969563,-0.8885949200610787,-0.9118692662572888,1.0005742010102745,1.274110304601538,0.4171560073730112,3
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12.0,0.0484002868590165,0.0435960184805861,0.0103029225060566,0.0763542222222222,0.0,0.2487479131886477,0.0326458026994033,0.0032866293738757,0.6126413400944242,0.677054655280598,0.4214436267658298,1.055578134763634,-0.8885949200610787,-0.9118692662572888,1.0005742010102745,0.3480095873652805,0.4171560073730112,3
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,0.1456048185157983,0.0,0.0,0.0,0.0073574863054224,0.0984974958263773,0.0158828014095592,0.0129563288561731,0.6126413400944242,-1.28586614980189,-0.9091757415789932,-1.01202208632022,0.1152047227004725,0.1743981061565315,-1.392627811474239,-0.6933738358547403,0.4171560073730112,0
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,0.3616112548518893,0.0328652963311056,0.0,0.0716311111111111,0.0488253585875652,0.2654424040066778,0.039300737633187,0.0276140895439224,0.6126413400944242,0.0931219957972449,-0.9091757415789932,0.6201974792519541,0.7219404319504388,1.025583971163073,0.4145652130592933,-0.6933738358547403,0.4171560073730112,2
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,2109.90649,0.0,12.0,0.1088094983645385,0.0,0.0,0.0,0.0590674458467375,0.0984974958263773,0.0077270104426115,0.0049284027393247,-0.8958425849142532,-1.28586614980189,-0.9091757415789932,-1.01202208632022,1.102197295138235,0.8628835826532357,-1.392627811474239,-0.6933738358547403,-2.5500835061962266,0
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,8.0,0.0021577057201226,0.0105832901879033,0.0,0.0230666666666666,0.0,0.0818030050083472,0.0050184139069849,0.0009578289347199,-1.973646432667966,-0.1146655291206788,-0.9091757415789932,0.2269740588106298,-0.8885949200610787,-0.9118692662572888,0.2062324883861981,1.274110304601538,0.4171560073730112,1
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.203221,0.25,12.0,0.1044508614865637,0.0102845518425222,0.0040724953233769,0.0150377777777777,0.0,0.4323873121869783,0.0339262463516058,0.0097452084446479,0.6126413400944242,0.4884402572048707,-0.1116782817929076,0.7824208998004298,-0.8885949200610787,-0.9118692662572888,0.2825590882429944,-0.6933738358547403,0.4171560073730112,3
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,12.0,0.1878876699724019,0.0081289456657144,0.0,0.0177173333333333,0.0,0.1318864774624374,0.0207788083077295,0.1631481753644888,0.6126413400944242,1.2119213838652076,-0.9091757415789932,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.4724890267155591,-0.6933738358547403,0.4171560073730112,3
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.980464,12465.54938,0.0,12.0,0.105900856607536,0.0036028048369918,0.0,0.0078524444444444,0.0,0.0651085141903172,0.0043969397172945,0.177436911702165,0.6126413400944242,0.4884402572048707,-0.9091757415789932,0.9266292180417528,-0.8885949200610787,-0.9118692662572888,0.2062324883861981,-0.6933738358547403,0.4171560073730112,3
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,13557.29726,0.0,12.0,0.3344790722354541,0.1296901665328631,0.1449916280781379,0.019996,0.0048587567327083,0.3739565943238732,0.0409670898553058,0.0217227942878783,0.6126413400944242,1.2119213838652076,1.6955310565659147,1.3712361530206605,1.3481079153593327,1.2299011223287,1.8907689799240055,-0.6933738358547403,0.4171560073730112,2
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.959051,1659.775075,0.0,12.0,0.0069496023243765,0.0166375847096538,0.0,0.0362622222222222,0.0,0.0584307178631051,0.0465203813464268,0.0011296256606431,-1.82834447171276,1.2119213838652076,-0.9091757415789932,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.7077997970295569,-0.6933738358547403,0.4171560073730112,3
