titular,saldo_cred_restante,freq_atu_saldo,qtde_compras,vr_max_compra_feita,vr_compra_feita_parcelas,dinh_adiantado_usu,freq_compras,freq_compras_1vez,freq_compras_parcelas,freq_pag_dinh_adiantado,trans_dinh_adiantado,trans_compra_feita,limite_cartao,vr_pag_feito_usu,vr_min_pagtos_feito_usu,%pag_integral_feito_usu,prazo_serv_cartao_usu,minmax__saldo_cred_restante,minmax__qtde_compras,minmax__vr_max_compra_feita,minmax__vr_compra_feita_parcelas,minmax__dinh_adiantado_usu,minmax__limite_cartao,minmax__vr_pag_feito_usu,minmax__vr_min_pagtos_feito_usu,power__freq_atu_saldo,power__freq_compras,power__freq_compras_1vez,power__freq_compras_parcelas,power__freq_pag_dinh_adiantado,power__trans_dinh_adiantado,power__trans_compra_feita,power__%pag_integral_feito_usu,power__prazo_serv_cartao_usu
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.002147794538759056,0.0019453677917648953,0.0,0.004240000000000001,0.0,0.0317195325542571,0.003977659062411008,0.0018256456315847679,-1.2695886078926157,-0.7870098359187703,-0.9091757415789933,-0.6220429093136652,-0.8885949200610787,-0.9118692662572888,-0.5914967004692989,-0.6933738358547403,0.4171560073730112
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.16816909701674723,0.0,0.0,0.0,0.13668490864085,0.2320534223706177,0.08089249007385224,0.014034479105143827,-0.5948778612638775,-1.28586614980189,-0.9091757415789933,-1.01202208632022,1.102197295138235,1.025583971163073,-1.392627811474239,1.1790596782226306,0.4171560073730112
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.13102613595644605,0.015766247542545745,0.018968260296237233,0.0,0.0,0.24874791318864775,0.012263399944021697,0.008209618062206773,0.6126413400944242,1.2119213838652076,1.7249586613950545,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,0.47248902671555915,-0.6933738358547403,0.4171560073730112
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.09503836488390284,0.02718784035014989,0.0,0.059256888888888894,0.0,0.05843071786310518,0.027601906153187458,0.03150565319071385,0.6126413400944242,0.4884402572048707,-0.9091757415789933,0.7824208998004298,-0.8885949200610787,-0.9118692662572888,0.2062324883861981,-0.6933738358547403,0.4171560073730112
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,0.03293894039701826,0.14459771975977767,0.15707638995369377,0.03059466666666667,0.0,0.4490818030050084,0.1252777047700877,0.0025920247464072824,0.6126413400944242,1.2119213838652076,1.7249586613950545,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,1.63337419100219,1.8518223689858484,0.4171560073730112
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,0.09576429522130202,0.008894857764862131,0.0,0.019386666666666667,0.0,0.07512520868113524,0.013387152481695102,0.006962980858490361,0.6126413400944242,1.2119213838652076,-0.9091757415789933,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.47248902671555915,-0.6933738358547403,0.4171560073730112
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.05329617645758494,0.017567242127123055,0.016228403201570117,0.008888888888888889,0.0,0.2320534223706177,0.013568801250296405,0.004082709171964879,0.6126413400944242,-0.33007347183400404,-0.11167828179290762,-0.014008267578856462,-0.8885949200610787,-0.9118692662572888,-0.08779045425098692,-0.6933738358547403,0.4171560073730112
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.007993744020733525,0.02613399750446425,0.03144162654481891,0.0,0.0,0.36560934891485813,0.022963094488088674,0.0013124996961167285,-1.9260199496591566,-0.7870098359187703,0.4214436267658298,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,-0.3822755393187493,-0.6933738358547403,0.4171560073730112
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.06790503229946566,0.018762807259525317,0.0,0.04089422222222223,0.0,0.03839732888146912,0.021356878381388084,0.028435898305100425,0.6126413400944242,1.2119213838652076,-0.9091757415789933,1.3712361530206605,-0.8885949200610787,-0.9118692662572888,0.47248902671555915,-0.6933738358547403,0.4171560073730112
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,0.03312451579410238,0.03042808083349834,0.03660780766046184,0.0,0.0,0.06510851419031721,0.013910669720582672,0.0020355668741555673,-1.2695886078926157,-0.553879852258038,0.7882918871029566,-1.01202208632022,-0.8885949200610787,-0.9118692662572888,0.024046291764370537,-0.6933738358547403,0.4171560073730112
